id,level,word,meaning_en,meaning_tr,meaning_es,meaning_ar,full_entry,article,pos,plural,forms,examples,page
b1_1390,B1,"die Halle, -n","the hall, -n","salon, -n","el pasillo, -n",القاعة، -ن,"die Halle, -n",die,noun,-n,,Die Stadt baut eine neue Sporthalle.,48
b1_1391,B1,"das Hallenbad, ¨-er","the indoor swimming pool, ¨-er","kapalı yüzme havuzu, ¨-er","la piscina cubierta, ¨-er",حمام السباحة الداخلي، ¨-إيه,"das Hallenbad, ¨-er",das,noun,¨-er,,Sie geht jeden Tag zum Schwimmen ins Hallenbad.,48
b1_1392,B1,hallo,Hello,Merhaba,Hola,مرحبًا,hallo,,word,,,"Hallo, wie geht’s? − Danke, gut, und dir?",48
b1_1393,B1,"der Hals, ¨-e","the neck, ¨-e","boyun, ¨-e","el cuello, ¨-e",الرقبة، ¨-ه,"der Hals, ¨-e 1.",der,noun,¨-e 1.,,Mir tut der Hals weh. || Ich habe seit gestern Halsschmerzen.,48
b1_1394,B1,halt,stop,durmak,detener,قف,halt,,word,,,Es gibt leider keine Karten mehr. || – Schade. || Da kann man nichts machen. || Das ist halt so.,48
b1_1395,B1,haltbar,durable,dayanıklı,durable,دائم,haltbar,,adjective,,,Diese Tomaten sind mindestens 2 Wochen haltbar.,48
b1_1396,B1,"halten, hält, hielt,","hold, holds, held","tutmak, tutmak, tutmak","sostener, sostener, sostener",عقد، يحمل، عقد,"halten, hält, hielt, 1.",,word,,hat gehalten,"Kannst du mal kurz meine Handtasche || halten? || Entschuldigung, hält dieser Zug auch in Darmstadt? || Halten Sie bitte im Keller die Fenster geschlossen. || Alle Mieter müssen sich an die Hausordnung halten. || Die Stadt will einen neuen Flughafen bauen. || Was halten Sie davon? || Halt, Polizei! || Fahren Sie bitte an den Straßenrand. || Die Wurst hält sich noch ein paar Tage.",48
b1_1397,B1,der Halt,the stop,durak,la parada,المحطة,der Halt,der,noun,,,Nächster Halt ist am Südbahnhof.,48
b1_1398,B1,"die Haltestelle, -n","the stop, -n","durak, -n","la parada, -n",التوقف، -ن,"die Haltestelle, -n",die,noun,-n,,An der nächsten Haltestelle müssen wir aussteigen.,48
b1_1399,B1,"der Hammer, ¨-","the hammer, ¨-","çekiç, ¨-","el martillo, ¨-",المطرقة، ¨-,"der Hammer, ¨-",der,noun,¨-,,Ich möchte ein Bild aufhängen. || Hast du einen Hammer für mich?,48
b1_1400,B1,"die Hand, ¨-e","the hand, ¨-e","el, ¨-e","la mano, ¨-e",اليد، ¨-ه,"die Hand, ¨-e 1.",die,noun,¨-e 1.,,Wasch dir bitte die Hände vor dem Essen. || Gib mir bitte deine Hand. || Wir gehen jetzt über die Straße.,48
b1_1401,B1,"der Handwerker, -","the craftsman, -","zanaatkar, -","el artesano, -",الحرفي،-,"der Handwerker, -",der,noun,-,,Morgen sind bei uns die Handwerker.,48
b1_1402,B1,"die Handwerkerin, -nen","the craftswoman, -nen","zanaatkâr, -nen","la artesana, -nen",الحرفي، -نين,"die Handwerkerin, -nen",die,noun,-nen,,Wir bekommen eine neue Badewanne.,48
b1_1403,B1,"handeln, handelt,","act, act","hareket etmek, davranmak","actuar, actuar",تصرف، تصرف,"handeln, handelt, 1.",,word,,,Herr Huber hat ein kleines Geschäft. || Er,48
b1_1404,B1,"handelte, hat gehandelt","handelte, hat gehandelt","hareket etti, harekete geçti","actuó, actuó",تصرف، تصرف,"handelte, hat gehandelt",,word,,,handelt mit Obst und Gemüse. || Kann ich Sie bitte mal sprechen? || – Worum handelt es sich denn? || Auf diesem Markt kannst du handeln und bekommst die Sachen billiger.,48
b1_1405,B1,der Handel,the trade,ticaret,el comercio,التجارة,der Handel,der,noun,,,Der Handel mit Computern ist ein gutes Geschäft.,48
b1_1406,B1,"der Händler, -","the dealer, -","satıcı, -","el comerciante, -",التاجر، -,"der Händler, -",der,noun,-,,"Ich gehe zum Gemüsehändler, soll ich",48
b1_1407,B1,"die Händlerin, -nen","the dealer, -nen","satıcı, -nen","el comerciante, -nen",التاجر، -نين,"die Händlerin, -nen",die,noun,-nen,,dir etwas mitbringen?,48
b1_1408,B1,"das Handy, -s","the cell phone, -s","cep telefonu, -s","el celular, -s",الهاتف الخليوي، -s,"das Handy, -s 1.",das,noun,-s 1.,,"Ich habe kein Festnetztelefon, aber ein Handy. || Soll ich Ihnen meine Handynummer geben?",48
b1_1409,B1,"hängen, hängt,","hang, hang","asmak, asmak","colgar, colgar",شنق، شنق,"hängen, hängt, 1.",,word,,,Das Bild hängt schief.,48
b1_1410,B1,"hing/hängte,",hung/hung,asılı / asılı,colgado/colgado,معلقة / معلقة,"hing/hängte, 2.",,word,,hat gehangen/gehängt,Hast du den Anzug wieder in den || Schrank gehängt?,48
b1_1411,B1,hart,hard,zor,duro,صعب,hart 1.,,word,,,"Das Bett im Hotel war mir zu hart. || Die Brötchen sind ja ganz hart. || Ich habe eine harte Woche vor mir. || Ich muss jeden Tag Überstunden machen. || Wir haben hart gearbeitet, um die Wohnung zu bezahlen.",48
b1_1412,B1,"hassen, hasst, hasste,","hate, hates, hated","nefret ediyorum, nefret ediyorum, nefret ediyorum","odio, odia, odiado",يكره، يكره، يكره,"hassen, hasst, hasste, 1.",,word,,hat gehasst,"Ich hasse Autofahren. || Ich hasse es, zu spät zu kommen.",48
b1_1413,B1,hässlich,ugly,çirkin,feo,قبيح,hässlich 1.,,adjective,,,Das ist aber eine hässliche Lampe! || Dieses Kleid finde ich hässlich.,48
b1_1414,B1,häufig,frequently,sıklıkla,frecuentemente,مرارًا,häufig,,adjective,,,Haben Sie häufig Kopfschmerzen? || Dann sollten Sie nicht so lange am Computer sitzen.,48
b1_1415,B1,Haupt-,Main-,Haupt-,Principal-,رئيسي-,Haupt-,,noun,,,,48
b1_1416,B1,"die Hauptstadt, ¨-e","the capital, ¨-e","başkent, ¨-e","la capital, ¨-e",العاصمة، ¨-ه,"die Hauptstadt, ¨-e",die,noun,¨-e,,Berlin ist die Hauptstadt von Deutschland.,48
b1_1417,B1,"der Hauptbahnhof, ¨-e","the main station, ¨-e","ana istasyon, ¨-e","la estación principal, ¨-e",المحطة الرئيسية، ¨-ه,"der Hauptbahnhof, ¨-e",der,noun,¨-e,,Treffen wir uns am Hauptbahnhof?,49
b1_1418,B1,"das Haus, ¨-er","the house, ¨-er","ev, ¨-er","la casa, ¨-er",المنزل، ¨-إيه,"das Haus, ¨-er 1.",das,noun,¨-er 1.,,Wir haben ein Haus gemietet. || Ich komme gerade von zu Hause. || Ich muss jetzt nach Hause. || Paul ist nicht zu Hause.,49
b1_1419,B1,"die Hausaufgabe, -n","the homework, -n","ödev, -n","la tarea, -n",الواجب المنزلي، -ن,"die Hausaufgabe, -n",die,noun,-n,,Kannst du mir bei den Hausaufgaben helfen?,49
b1_1420,B1,die Hausfrau/der Haus-,the housewife/housekeeper,ev hanımı / hizmetçi,el ama de casa/ama de casa,ربة المنزل/مدبرة المنزل,die Hausfrau/der Haus-,die,noun,,,Meine Frau ist Hausfrau und kümmert,49
b1_1421,B1,mann,man,Adam,hombre,رجل,mann,,word,,,sich um die Kinder./Mein Mann ist Hausmann und kümmert sich um die Kinder.,49
b1_1422,B1,"der Haushalt, -e","the household, -e","ev, -e","el hogar, -e",الأسرة، -ه,"der Haushalt, -e",der,noun,-e,,"Ich kümmere mich um den Haushalt, d. h. ich putze, wasche, koche etc.",49
b1_1423,B1,"der Hausmeister, -","the caretaker, -","bakıcı, -","el cuidador, -",القائم بالرعاية، -,"der Hausmeister, -",der,noun,-,,"Der Hausmeister hat mir geholfen, den",49
b1_1424,B1,"die Hausmeisterin, -nen","the caretaker, -nen","bekçi, -nen","el cuidador, -nen",الحارس، -نين,"die Hausmeisterin, -nen",die,noun,-nen,,Schrank in die Wohnung zu tragen.,49
b1_1425,B1,"(D, A) →CH: Abwart","(D, A) →CH: Wait","(D, A) →CH: Bekle","(D, A) →CH: Esperar",(د، أ) →CH: انتظر,"(D, A) →CH: Abwart",,other,,,,49
b1_1426,B1,die Haut,the skin,cilt,la piel,الجلد,die Haut,die,noun,,,Haben Sie eine Creme für trockene Haut?,49
b1_1427,B1,"heben, hebt, hob,","lift, lift, lift","kaldır, kaldır, kaldır","levantar, levantar, levantar",ارفع، ارفع، ارفع,"heben, hebt, hob, 1.",,word,,hat gehoben,"Kannst du mir helfen? || Das Paket kann || ich allein nicht heben. || Wenn Sie für diesen Vorschlag sind, heben Sie bitte die Hand!",49
b1_1428,B1,"das Heft, -e","the booklet, -e","kitapçık, -e","el folleto, -e",الكتيب، -ه,"das Heft, -e",das,noun,-e,,Ich hätte gern ein Schreibheft.,49
b1_1429,B1,heim,home,Ev,hogar,بيت,heim,,word,,,Ich will jetzt heim.,49
b1_1430,B1,"das Heim, -e","the home, -e","ev, -e","el hogar, -e",المنزل، -ه,"das Heim, -e",das,noun,-e,,Meine Oma wohnt in einem Seniorenheim.,49
b1_1431,B1,die Heimat,the homeland,vatan,la patria,الوطن,die Heimat,die,noun,,,Ich lebe jetzt hier in Deutschland. || Das ist meine neue Heimat.,49
b1_1432,B1,heimlich,secretly,gizlice,secretamente,سرا,heimlich,,adjective,,,"Gestern habe ich gehört, dass mein Sohn heimlich raucht.",49
b1_1433,B1,das Heimweh,the homesickness,vatan hasreti,la nostalgia,الحنين إلى الوطن,das Heimweh,das,noun,,,Ich habe oft Heimweh nach meiner Familie.,49
b1_1434,B1,"heiraten, heiratet,","get married, get married","evlenmek, evlenmek","casarse, casarse",تزوج، تزوج,"heiraten, heiratet, 1.",,word,,,Unsere Freunde heiraten nächsten,49
b1_1435,B1,"heiratete, hat geheiratet","married, got married","evlendi, evlendi","casado, se casó",تزوجت، تزوجت,"heiratete, hat geheiratet",,word,,,Monat in Italien. || Wir haben 1980 geheiratet. || Meine Schwester heiratet einen Japaner.,49
b1_1436,B1,heiß,hot,sıcak,caliente,حار,heiß 1.,,word,,,Für die Jahreszeit ist es zu heiß. || Ich mache dir einen heißen Tee.,49
b1_1437,B1,"heißen, heißt, hieß,","called, called, called","aradım, aradım, aradım","llamado, llamado, llamado",دعا، دعا، دعا,"heißen, heißt, hieß, 1.",,word,,hat geheißen,Wie heißen Sie? || Wie heißt das auf Deutsch? || Die Erklärung verstehe ich nicht. || Was heißt das?,49
b1_1438,B1,"heizen, heizt, heizte,","heat, heat, heated","ısı, ısı, ısıtılmış","calor, calor, calentado",الحرارة، الحرارة، ساخنة,"heizen, heizt, heizte, 1.",,word,,hat geheizt,Wir heizen mit Öl. || Ziehen Sie sich warm an. || In der Halle ist nicht geheizt.,49
b1_1439,B1,"die Heizung, -en","the heating, -en","ısıtma, -tr","la calefacción, -es",التدفئة، -en,"die Heizung, -en",die,noun,-en,,Es ist kalt. || Ist die Heizung kaputt?,49
b1_1440,B1,"der Held, -en","the hero, -en","kahraman, -tr","el héroe, -es",البطل -en,"der Held, -en 1.",der,noun,-en 1.,,Er spielt gern den Helden.,49
b1_1441,B1,"die Heldin, -nen","the heroine, -nen","kahraman, -nen","la heroína, -nen",البطلة -نين,"die Heldin, -nen 2.",die,noun,-nen 2.,,Sie ist die Heldin des Tages.,49
b1_1442,B1,"helfen, hilft, half,","help, helps, helped","yardım, yardım eder, yardım etti","ayuda, ayuda, ayudado",ساعد، ساعد، ساعد,"helfen, hilft, half, 1.",,word,,hat geholfen,Kannst du mir helfen? || Ich muss || nächsten Monat umziehen. || Die Tabletten haben mir gut geholfen.,49
b1_1443,B1,die Hilfe1.,the help1.,yardım1.,la ayuda1.,المساعدة1.,die Hilfe1.,die,noun,,,"Vielen Dank für Ihre Hilfe. || Haben Sie einen Kurs für Erste Hilfe gemacht? || Das müssen Sie, wenn Sie den Führerschein machen wollen. || Hilfe! || Jemand hat mir die Handtasche gestohlen. || Bitte helfen Sie mir!",49
b1_1444,B1,hell,bright,parlak,brillante,ساطع,hell 1.,,word,,,Im Sommer wird es um 5 Uhr schon hell. || Mein Zimmer ist schön hell. || Ich habe mir einen hellblauen Pullover gekauft.,49
b1_1445,B1,"das Hemd, -en","the shirt, -en","gömlek, -tr","la camisa, -es",القميص، -en,"das Hemd, -en",das,noun,-en,,Nikos trägt heute ein weißes Hemd.,49
b1_1446,B1,"das Hend(e)l, - (A) →D:","the chicken, - (A) →D:","tavuk, - (A) →D:","el pollo, - (A) →D:",الدجاج، - (أ) →د:,"das Hend(e)l, - (A) →D:",das,noun,- (A) →D:,,Zum Mittagessen gibt es Hendl mit,49
b1_1447,B1,Hähnchen/Hühnchen; CH:,chicken/chicken; CH:,tavuk/tavuk; :,pollo/pollo; CH:,دجاج/دجاج؛ CH:,Hähnchen/Hühnchen; CH:,,noun,,,Reis.,49
b1_1448,B1,Poulet,Chicken,Tavuk,Pollo,فرخة,Poulet,,noun,,,,49
b1_1449,B1,her/her-,her/her-,onu-,ella/ella-,لها/لها-,her/her- 1.,,word,,,"Wir haben uns lange nicht gesehen. || – Ja, das ist wirklich lange her. || Komm her zu mir!",49
b1_1450,B1,"heraus-, raus-","out, out-","dışarı, dışarı-","fuera, fuera-",خارج، خارج-,"heraus-, raus-",,word,,,"Hast du schon rausgefunden, wann und",49
b1_1451,B1,"(heraus-) finden, findet","(heraus-) finden, findet","(to) öğrenmek, bulur","(para) descubrir, encuentra",(ل) اكتشف، يجد,"(heraus-) finden, findet",,word,,,wo man sich für den Kurs anmelden,49
b1_1452,B1,"heraus, fand heraus,","found out, found out","öğrendim, öğrendim","descubrí, descubrí",اكتشف، اكتشف,"heraus, fand heraus,",,word,,hat herausgefunden,muss?,49
b1_1453,B1,"die Herausforderung, -en","the challenge, -en","meydan okuma, -tr","el desafío, -es",التحدي، -en,"die Herausforderung, -en",die,noun,-en,,Das Spiel ist eine Herausforderung.,49
b1_1454,B1,"der Herd, -e","the stove, -e","soba, -e","la estufa, -e",الموقد، -ه,"der Herd, -e",der,noun,-e,,In der neuen Küche fehlt noch der Herd.,49
b1_1455,B1,"herein-, rein-","in, in-","içinde, içinde-","en, en-",في، في-,"herein-, rein-",,word,,,Kommt doch herein!,49
b1_1456,B1,die Herkunft,the origin,köken,el origen,الأصل,die Herkunft,die,noun,,,Viele Leute fragen mich nach meiner Herkunft.,49
b1_1457,B1,"der Herr, -en","the gentleman, -en","beyefendi, -tr","el caballero, -es",الرجل المحترم، -en,"der Herr, -en 1.",der,noun,-en 1.,,"Da ist ein Herr, der möchte Sie sprechen. || Guten Tag, Herr Müller!",49
b1_1458,B1,"herstellen, stellt her,","produce, manufactures","üretmek, üretir","producir, fabrica",ينتج، يصنع,"herstellen, stellt her,",,word,,,In unserer Firma stellen wir,49
b1_1459,B1,"stellte her, hat hergestellt","made, has made","stellte her, hat hergestellt","hecho, ha hecho",صنع، صنع,"stellte her, hat hergestellt",,word,,,Schokolade her.,49
b1_1460,B1,"der Hersteller, -","the manufacturer, -","üretici, -","el fabricante, -",الشركة المصنعة، -,"der Hersteller, -",der,noun,-,,Ihr Handy ist kaputt? || Wir schicken es an den Hersteller zurück und lassen es reparieren.,49
b1_1461,B1,"herunter-, runter-","down, down-","aşağı, aşağı-","abajo, abajo-",للأسفل، للأسفل-,"herunter-, runter-",,word,,,,49
b1_1462,B1,"(herunter-)laden, lädt","(down)load, loads","(aşağı)yükleme, yükler","(abajo)cargar, cargas",(أسفل) تحميل، الأحمال,"(herunter-)laden, lädt",,word,,,Ich habe mir Musik aus dem Internet,49
b1_1463,B1,"herunter, lud herunter,","downloaded, downloaded","indirildi, indirildi","descargado, descargado",تم التنزيل، تم التنزيل,"herunter, lud herunter,",,word,,hat heruntergeladen,(he)runtergeladen.,49
b1_1464,B1,"(herunter-)fahren, fährt","(herunter-)fahren, fährt","(kapat), sürücüler","(apagado), unidades",(اغلاق)، محركات الأقراص,"(herunter-)fahren, fährt",,word,,,Zum Schluss musst du den Computer,50
b1_1465,B1,"herunter, fuhr herunter,","down, shut down","Kapat, kapat","abajo, apagar",أسفل، اغلاق,"herunter, fuhr herunter,",,word,,hat heruntergefahren,herunterfahren.,50
b1_1466,B1,"das Herz, -en","the heart, -en","kalp, -tr","el corazón, -es",القلب - أ,"das Herz, -en 1.",das,noun,-en 1.,,Ich bin ganz nervös. || Mir klopft das Herz. || Wir müssen Ihr Herz untersuchen.,50
b1_1467,B1,herzlich,herzlich,yürekten,sentido,القلبية,herzlich,,adjective,,,Herzlichen Glückwunsch!,50
b1_1468,B1,heute,today,Bugün,hoy,اليوم,heute,,adverb,,,Heute kann ich etwas früher nach Hause gehen. || Ab heute bleibt unser Büro nachmittags geschlossen. || Frau Müller kommt heute in acht Tagen zurück. || Heute kann man sich eine Welt ohne Internet nicht mehr vorstellen.,50
b1_1469,B1,heutig-,today-,Bugün-,hoy-,اليوم-,heutig-,,adjective,,,Die heutigen Computer können viel mehr als noch vor ein paar Jahren.,50
b1_1470,B1,hier/hier-,here/here-,burada/burada-,aquí/aquí-,هنا/هنا-,hier/hier- 1.,,word,,,Hier wohne ich. || Von hier hat man eine herrliche Aussicht. || Hier sind die Schlüssel für meine Woh- nung. || Kannst Du meine Blumen gießen? || Hier ist Pamela Linke. || Bitte hinterlassen Sie eine Nachricht.,50
b1_1471,B1,hierher,here,Burada,aquí,هنا,hierher,,word,,,Ich komme oft hierher. || In diesem Café gibt es guten Kuchen.,50
b1_1472,B1,der Himmel,the sky,gökyüzü,el cielo,السماء,der Himmel,der,noun,,,Wir hatten im Urlaub so tolles Wetter. || Immer Sonne und blauer Himmel.,50
b1_1473,B1,"(hinunter) runterwerfen,",to throw down (down).,(aşağıya) atmak.,tirar hacia abajo (hacia abajo).,لرمي (أسفل).,"(hinunter) runterwerfen,",,word,,,Kannst du mir bitte den Schlüssel,50
b1_1474,B1,"wirft runter, warf runter,","throws down, threw down","aşağı attı, attı","tira hacia abajo, tira hacia abajo",يلقي إلى أسفل، ألقي إلى أسفل,"wirft runter, warf runter,",,word,,hat runtergeworfen,runterwerfen? || Ich habe meinen || vergessen.,50
b1_1475,B1,hinten,rear,arka,trasero,مؤخرة,hinten 1.,,word,,,Wo möchtest du sitzen? || Hinten oder vorne? || Bitte hinten aussteigen!,50
b1_1476,B1,hinter/hinter-,behind/behind-,arkasında/arkasında-,detrás/detrás-,خلف/خلف-,hinter/hinter- 1.,,word,,,Hinter dem Haus haben wir einen Garten. || Fahren Sie Ihren Wagen bitte hinter das Haus. || Auf den hinteren Plätzen kann man nicht sehr viel sehen.,50
b1_1477,B1,"hinterlassen, hinterlässt,","leave, leaves behind","ayrılmak, geride bırakmak","dejar, dejar atrás",يترك، يترك وراءه,"hinterlassen, hinterlässt,",,word,,,Möchten Sie eine Nachricht,50
b1_1478,B1,"hinterließ,",left behind,geride kaldı,dejado atrás,تركت وراءها,"hinterließ,",,word,,hat hinterlassen,hinterlassen?,50
b1_1479,B1,hinterher,afterwards,daha sonrasında,después,بعد ذلك,hinterher,,word,,,Vor der Prüfung habe ich so viel gelernt. || Hinterher habe ich vieles wieder vergessen.,50
b1_1480,B1,"hinweisen, weist hin,","point out, point out","belirtmek, belirtmek","señalar, señalar",أشير، أشير,"hinweisen, weist hin,",,word,,,"Wir möchten Sie darauf hinweisen,",50
b1_1481,B1,wies hin,pointed out,işaret etti,señaló,وأشار,"wies hin, hat hingewiesen",,verb,,hat hingewiesen,dass das Rauchen am Bahnsteig nicht gestattet ist.,50
b1_1482,B1,"der Hinweise, -e","of clues, -e","ipuçları, -e","de pistas, -e",من القرائن، -ه,"der Hinweise, -e",der,noun,-e,,Die Polizei hat viele Hinweise zum Unfall bekommen.,50
b1_1483,B1,historisch,historical,tarihi,histórico,تاريخي,historisch,,adjective,,,Wir waren mit unserer Klasse im Historischen Museum.,50
b1_1484,B1,die Hitze,the heat,ısı,el calor,الحرارة,die Hitze,die,noun,,,Gestern war eine schreckliche Hitze!,50
b1_1485,B1,"das Hobby, -s","the hobby, -s","hobi, -s","el hobby, -s",الهواية، -s,"das Hobby, -s",das,noun,-s,,Ich habe keine Zeit mehr für meine Hobbys.,50
b1_1486,B1,hoch,high,yüksek,alto,عالي,hoch 1.,,word,,,Der Berg ist fast 3000 m hoch. || Das Hotel liegt hoch über dem See. || Die Benzinpreise sind sehr hoch.,50
b1_1487,B1,die Höhe,the height,yükseklik,la altura,الارتفاع,die Höhe 1.,die,noun,,,"Mein Tisch hat folgende Maße: Länge: 1,20 m, Breite: 0,60 m, Höhe: 0,80 m. || Wir fliegen jetzt in 6000 m Höhe.",50
b1_1488,B1,"hochladen, lädt hoch,","upload, uploads","yükleme, yüklemeler","subir, subir",تحميل، تحميلات,"hochladen, lädt hoch,",,word,,,Kannst du bitte die Datei für die,50
b1_1489,B1,lud hoch,uploaded,yüklendi,subido,تم الرفع,"lud hoch, hat hochgeladen",,verb,,hat hochgeladen,Hausaufgabe hochladen?,50
b1_1490,B1,höchstens,at most,en fazla,a lo sumo,على الأكثر,höchstens,,word,,,Ich habe wenig Zeit. || Ich kann höchstens eine Viertelstunde bleiben.,50
b1_1491,B1,"die Hochzeit, -en","the wedding, -en","düğün, -tr","la boda, -es",الزفاف، -en,"die Hochzeit, -en 1.",die,noun,-en 1.,,Claudia und Peter wollen ihre Hochzeit groß feiern. || Zu dieser Hochzeit kommen mehr als fünfzig Gäste.,50
b1_1492,B1,"der Hof, ¨-e","the yard, ¨-e","avlu, ¨-e","el patio, ¨-e",الفناء، ¨-ه,"der Hof, ¨-e",der,noun,¨-e,,Die Kinder spielen am liebsten im Hof.,50
b1_1493,B1,"der Bauernhof, ¨-e","the farm, ¨-e","çiftlik, ¨-e","la finca, ¨-e",المزرعة، ¨-ه,"der Bauernhof, ¨-e",der,noun,¨-e,,Meine Großeltern hatten einen Bauernhof.,50
b1_1494,B1,"hoffen, hofft, hoffte,","hope, hopes, hoped","umut, umutlar, umut","esperanza, esperanzas, esperado",الأمل، الأمل، الأمل,"hoffen, hofft, hoffte, 1.",,word,,hat gehofft,"Ich hoffe, dass ihr zu meinem || Geburtstag kommen könnt. || Wir alle hoffen auf besseres Wetter.",50
b1_1495,B1,hoffentlich,hopefully,umutla,con un poco de suerte,أملاً,hoffentlich,,adjective,,,Hoffentlich hat unser Zug keine Verspätung.,50
b1_1496,B1,"die Hoffnung, -en","the hope, -en","umut, -tr","la esperanza, -es",الأمل، -en,"die Hoffnung, -en",die,noun,-en,,Man darf die Hoffnung nicht verlieren.,50
b1_1497,B1,höflich,polite,kibar,educado,مؤدب,höflich,,adjective,,,Unser Nachbar ist sehr höflich. || Er sagt immer als Erster Guten Tag.,50
b1_1498,B1,"holen, holt, holte,","fetch, fetch, fetch","getir, getir, getir","buscar, buscar, buscar",جلب، جلب، جلب,"holen, holt, holte, 1.",,word,,hat geholt,Soll ich uns was zu trinken holen? || Warum haben Sie nicht sofort einen Arzt geholt?,50
b1_1499,B1,das Holz,the wood,ahşap,la madera,الخشب,das Holz,das,noun,,,Möchten Sie ein Regal aus Holz oder aus Metall?,50
b1_1500,B1,der Honig,the honey,bal,la miel,العسل,der Honig,der,noun,,,Ich esse gern Brötchen mit Honig und Butter zum Frühstück.,50
b1_1501,B1,"hören, hört, hörte,","hear, hear, heard","duydum, duydum, duydum","escuchar, escuchar, escuchar",اسمع، اسمع، سمعت,"hören, hört, hörte, 1.",,word,,hat gehört,"Ich kann nicht mehr so gut hören. || Ich höre jeden Tag die Nachrichten. || Dieses Wort habe ich noch nie gehört. || Ich habe gehört, dass Herr Müller im Krankenhaus liegt.",50
b1_1502,B1,"der Hörer, -;","the listener, -;","dinleyici, -;","el oyente, -;",المستمع -؛,"der Hörer, -;",der,noun,-;,,Die Sendung hat viele Hörer und,51
b1_1503,B1,"die Hörerin, -nen","the listener, -nen","dinleyici, -nen","el oyente, -nen",المستمع، -نين,"die Hörerin, -nen",die,noun,-nen,,Hörerinnen.,51
b1_1504,B1,der Zuhörer,the listener,dinleyici,el oyente,المستمع,der Zuhörer,der,noun,,,,51
b1_1505,B1,"die Hose, -n","the pants, -n","pantolon, -n","los pantalones, -n",السراويل، -ن,"die Hose, -n",die,noun,-n,,Können Sie die Hose etwas kürzer machen?,51
b1_1506,B1,"das Hotel, -s","the hotel, -s","otel, -s","el hotel, -s",الفندق -س,"das Hotel, -s",das,noun,-s,,Im Urlaub sind wir in einem Hotel am Meer.,51
b1_1507,B1,hübsch,pretty,tatlı,bonito,جميل,hübsch 1.,,word,,,Wir haben eine hübsche Wohnung gefunden. || Dietmars neue Freundin ist sehr hüb- sch.,51
b1_1508,B1,"der Hügel, -","the hill, -","tepe, -","la colina, -",التل، -,"der Hügel, -",der,noun,-,,Auf diesem Hügel machen wir eine Pause.,51
b1_1509,B1,der Humor,the humor,mizah,el humor,الفكاهة,der Humor 1.,der,noun,,,"Wir mögen Paul, weil er so viel Humor hat. || Den Humor des Komikers verstehe ich nicht.",51
b1_1510,B1,der Hunger,the hunger,açlık,el hambre,الجوع,der Hunger,der,noun,,,"Möchtest du Suppe? || – Nein danke, ich habe keinen Hunger.",51
b1_1511,B1,hungrig,hungry,aç,hambriento,جائع,hungrig,,adjective,,,Ich bin sehr hungrig.,51
b1_1512,B1,"hupen, hupt, hupte,","honk, honk, honk","korna, korna, korna","bocina, bocina, bocina",تزمير، تزمير، تزمير,"hupen, hupt, hupte,",,word,,hat gehupt,Hier ist ein Krankenhaus. || Hier darfst || du nicht hupen.,51
b1_1513,B1,"husten, hustet, hustete,","cough, cough, cough","husten, hustet, hustete,","tos, tos, tos",السعال والسعال والسعال,"husten, hustet, hustete,",,word,,hat gehustet,Der Junge hat die ganze Nacht || gehustet.,51
b1_1514,B1,der Husten,the cough,öksürük,la tos,السعال,der Husten,der,noun,,,Haben Sie ein Medikament gegen Husten?,51
b1_1515,B1,"der Hut, ¨-e","the hat, ¨-e","şapka, ¨-e","el sombrero, ¨-e",القبعة، ¨-ه,"der Hut, ¨-e",der,noun,¨-e,,Sie sollten im Sommer nicht ohne Hut in die Sonne gehen.,51
b1_1516,B1,"die Hütte, -n","the hut, -n","kulübe, -n","la cabaña, -n",الكوخ، -ن,"die Hütte, -n",die,noun,-n,,Wir übernachten in der Hütte auf dem Berg.,51
b1_1517,B1,ideal,ideal,ideal,ideal,مثالي,ideal,,word,,,Eine Wohnung mit Garten wäre für uns ideal.,51
b1_1518,B1,"die Idee, -n","the idea, -n","fikir, -n","la idea, -n",الفكرة -ن,"die Idee, -n",die,noun,-n,,Du willst ein Picknick machen? || Ich finde die Idee toll.,51
b1_1519,B1,illegal,illegal,yasa dışı,ilegal,غير قانوني,illegal,,word,,,"Ohne Steuerkarte zu arbeiten ist illegal. || Wenn es herauskommt, musst du Strafe zahlen.",51
b1_1520,B1,"der Imbiss, -e (D) →A:","the snack, -e (D) →A:","atıştırmalık, -e (D) →A:","la merienda, -e (D) →A:",الوجبة الخفيفة، -e (D) →A:,"der Imbiss, -e (D) →A:",der,noun,-e (D) →A:,,Es ist Zeit für einen kleinen Imbiss.,51
b1_1521,B1,"Jause, CH: Znüni/Zvieri","Jause, CH: snack/breakfast","Jause, CH: atıştırmalık/kahvaltı","Jause, CH: merienda/desayuno",Jause، CH: وجبة خفيفة / إفطار,"Jause, CH: Znüni/Zvieri",,noun,,,,51
b1_1522,B1,immer,always,Her zaman,siempre,دائماً,immer 1.,,adverb,,,Frau Bast kommt immer zu spät. || Mein Kollege liegt immer noch im Krankenhaus. || Die Schmerzen werden immer schlimmer.,51
b1_1523,B1,"der Import, -e","the import, -e","içe aktarma, -e","la importación, -e",الاستيراد، -ه,"der Import, -e 1.",der,noun,-e 1.,,"Im dritten Stock ist die Firma Schmidt & Co, Import und Export. || Der Import von Zigaretten ist nur bis zu einer bestimmten Menge erlaubt.",51
